# Fusion des variantes vers un ingredient canonique.
# Colonne 1 : forme repliee telle qu'elle sort de marmite.normalize.text
# Colonne 2 : identifiant canonique
variante,canonique
horseradish,horseradish
vinegar,vinegar_white
white vinegar,vinegar_white
cider vinegar,vinegar_cider
apple cider vinegar,vinegar_cider
balsamic vinegar,vinegar_balsamic
red wine vinegar,vinegar_red_wine
white wine vinegar,vinegar_white_wine
rice vinegar,vinegar_rice
white wine,wine_white
red wine,wine_red
sherry,sherry
brandy,brandy
rum,rum
beer,beer
ice,ice
ice cube,ice
cream of mushroom soup,soup_mushroom
cream of chicken soup,soup_chicken
catsup,ketchup
jalapenos,jalapeno
green olive,olive
kalamata olive,olive
nonstick cooking spray,cooking_spray
garam masala,garam_masala
firm tofu,tofu
tofu,tofu
prosciutto,prosciutto
parsnip,parsnip
rhubarb,rhubarb
sauerkraut,sauerkraut
linguine,pasta_linguine
pie crust,pie_crust
puff pastry,puff_pastry
wheat germ,wheat_germ
liquid smoke,liquid_smoke
